1,Manga,Ouran High School Host Club,Bisco Hatori,Hakusensha,Viz Media,Shojo,Finished,9/1/2002,11/1/2010,18
2,Manga,Inuyasha: A Feudal Fairy Tale,Rumiko Takahashi,Shogakukan,Viz Media,Shonen,Finished,11/13/1996,6/18/2008,56
3,Light Novel,Official Another Story Clannad ,Jun Maeda,ASCII Media Works,,Male,Finished,9/1/2004,10/1/2005,1
4,Manga ,Rurouni Kenshin,Nobuhiro Watsuki,Shueisha,Viz Media,Shonen,Finished,4/25/1994,11/4/1999,28
5,Light Novel,The Devil is a Part-Timer!,Satoshi Wagahara,ASCII Media Works,Yen Press,Male,Ongoing  ,2/10/2011,,15
5,Manga,The Devil is a Part-Timer!,Akio Hiragi,ASCII Media Works,Yen Press,Shonen,Ongoing,2/1/2012,,5
6,Manga,One Piece,Eiichiro Oda,Shueisha,Viz Media,Shonen,Ongoing  ,7/19/1997,,79
7,Manga,School Rumble,Jin Kobayashi,Kodansha,Del Rey Manga,Shonen,Finished,10/22/2002,7/23/2008,22
8,Manga,Dragon Ball,Akira Toriyama,Shueisha,Viz Media,Shonen,Finished,11/20/1984,5/23/1995,42
9,Manga,Soul Eater,Atsuhi Okubo,Square Enix,Yen Press,Shonen,Finished,5/12/2004,8/12/2013,25
